,hospital_name,specialties,address,city_area
325,Dr. Ahmed Labib,"Children, newborns, breastfeeding, children and newborns, Alexandria, Muharram Beck",Muharram Beck,Alexandria - Muharram Beck
326,Dr. Ahmed Labib,"Old eyes, lizards and correction of vision and white water, network surgery and a glass body, optical rehabilitation, children's eyes, eyes, Cairo, gathering","Assembly: Silver Star Mall, first round - highest Saudi Market",Cairo - Assembly
327,Dr. Ahmed Lotfy,"Adult blood vessels, adult heart, heart and blood vessels, Giza, Faisal","Faisal: The main Faisal Street, the floor station",Giza - Faisal
328,Dr. Ahmed Lutfi Al -Jamal,"Facial plastic surgery, burn surgery, hand plastic surgery, nose plastic surgery, cosmetic and laser, obesity and slimming surgery, eye plastic surgery, plastic surgery, Giza, pyramid",Haram: Ali Ibn Abi Talib Street,Giza - the pyramid
329,Dr. Ahmed Lotfi Mahmoud,"Children, newborns, children and newborns, Cairo, Ain Shams",Ain Shams: Ahmed Esmat is a branch from the Suez Bridge,Cairo - Ain Shams
330,Dr. Ahmed Mujahid,"Gynecology and generation diseases, women's tumors surgery, microscopic injection and sterility, women and generation, Alexandria, Smouha",Smouha: Ribro Fertility Center - Mustafa Kamel St. in front of Orange,Alexandria - Smouha
331,Dr. Ahmed Magdy,"Extraordinary feeding and feeding, adult physical therapy, slimming and nourishing children, slimming and feeding, Qaliubiya, Benha Center",Benha Center: Ahmed Mustafa Buildings,Qaliubiya - Benha Center
332,Dr. Ahmed Moheb,"Women's tumor surgery, microscopic injection and sterility, women and obstetrics, Giza, engineers",Mohandessin: Sudan Street,Giza - Engineers
333,Dr. Ahmed Mohsen Sawah,"Old heart, adult blood vessels, heart and blood vessels, Giza, Faisal",Faisal: Ahmed Lotfi El -Sayed,Giza - Faisal
334,Dr. Ahmed Mohamed Al -Barai,"General General Surgery, belly surgery, endocrine surgery, injuries and accident surgery, adult tumors surgery, breast tumor surgery, colon tumor surgery, stomach tumor surgery, gastrointestinal surgery and adults, general surgery, western, Tanta","Tanta: The first evacuation of the Evacuation Tower, next to the banana king",Gharbia - Tanta
335,Dr. Ahmed Mohamed Ahmed Issa,"Adult brain and nerves, brain and nerves, Cairo, downtown",downtown,Cairo - Downtown
336,Dr. Ahmed Mohamed Ahmed Issa,"Adult brain and nerves, brain and nerves, Cairo, downtown",downtown,Cairo - Downtown
337,Dr. Ahmed Muhammad Al -Baghdadi,"Women and obstetrics, Eastern, Zagazig",Zagazig: Belbeis Gamal Abdel Nasser Street,Eastern - Zagazig
338,Dr. Ahmed Mohamed Al -Telti,"Breast tumor surgery, general children surgery, obesity and slimming surgery, belly surgery, endocrine surgery, gastrointestinal surgery and adult endoscopy, women's tumors surgery, adult tumors surgery, colon tumor surgery, liver tumor surgery, stomach tumor surgery, urinary tract surgery,General General Surgery, Digestive Surgery and Children's Endoscope, Children's Deficiency Surgery and Congenital Disadvantages, Cyber ​​and Accident Surgery, Children's Oncology Surgery, General Surgery, Eastern, Zagazig","Zagazig: Mansoura's paradoxes in front of Rizk Restaurant, the highest market",Eastern - Zagazig
339,Dr. Ahmed Mohamed Al -Zaiti,"Extreme feedback and feeding, adult physical therapy, slimming and feeding, Alexandria, Miami",Miami,Alexandria - Miami
340,Dr. Ahmed Mohamed Saaduddin Salama,"General, internal, internal, Cairo, Nasr City",Nasr City,Cairo - Nasr City
341,Dr. Ahmed Mohamed Saafan,"Urine urinary tracts, urology, Cairo, Nasr City",Nasr City,Cairo - Nasr City
342,Dr. Ahmed Mohamed Amer,"Adult natural remedy, stadium injuries, rehabilitation, physical therapy and stadium injuries, oriental, Zagazig","Zagazig: In front of the Obour Hospital, the highest jawish furniture",Eastern - Zagazig
343,Dr. Ahmed Mohamed Abdel -Qader Homs,"Adult teeth, teeth, Cairo, Maadi",Hostile,Cairo - Maadi
344,Dr. Ahmed Mohamed Ali,"Hand plastic surgery, facial plastic surgery, burn surgery, eye plastic surgery, nose surgery, plastic surgery, Cairo, gathering","Assembly: North Northern St., behind the air hospital, Cairo Medical Center",Cairo - Assembly
345,Dr. Ahmed Mohamed Ali,"Hand plastic surgery, facial plastic surgery, burn surgery, eye plastic surgery, nose surgery, plastic surgery, Cairo, gathering","Assembly: North Northern St., behind the air hospital, Cairo Medical Center",Cairo - Assembly
346,Dr. Ahmed Mohamed Ali,"Hand plastic surgery, facial plastic surgery, obesity and slimming surgery, adult leather, children's skin, burn surgery, eye plastic surgery, nose surgery, children's distortions and birth defects, plastic surgery, Cairo, Heliopolis",Heliopolis: Al -Ahram Roxy St. in front of the Federal Palace,Cairo - Heliopolis
347,Dr. Ahmed Mohamed Ali,"Facial plastic surgery, cosmetic and laser, burn surgery, hand plastic surgery, eye plastic surgery, nose surgery, children's distortions and birth defects, plastic surgery, oriental, Zagazig","Zagazig: In front of the city council, Ali Al -Rashidi, for juice",Eastern - Zagazig
348,Dr. Ahmed Mohamed Omar,"Male diseases, adult skin, male and sterile, Giza, Faisal",Faisal: Faisal Street,Giza - Faisal
349,Dr. Ahmed Mohamed Omar,"Old skin, genital diseases, male diseases, cosmetic and lazer, children's skin, leather, Giza, Faisal",Faisal: Faisal Street,Giza - Faisal
350,Dr. Ahmed Mahmoud Al Sharif,"Adult brain and neurosurgery, children's neurosurgery, adult spine surgery, spine surgery, children, adults and nerves, children's neurosurgery, neurosurgery, Giza, engineers",Mohandessin: Iraq Street from Shehab Street,Giza - Engineers
351,Dr. Ahmed Mahmoud Suleiman,"Adult's skin, children's skin, cosmetic and laser, genital diseases, leather, Giza, Giza Square",Giza Square: Cairo University Street,Giza - Giza Square
352,Dr. Ahmed Mahmoud Saleh,"Adult Surgery, Public Surgery, Children, Stomach Surgery, Endocrine Surgery, Gastrointestinal Surgery and Adult Endoscopes, Injury and Accident Surgery, Administrative Oncology Surgery, Breast Oncology Surgery, Urine Urinary Patch Surgery, Adult General Surgery, Digestive Surgery and Children's Endoscopes, General Surgery, Alexandria, Smouha",Smouha: Paradise,Alexandria - Smouha
353,Dr. Ahmed Mahmoud Abdel Rahim,"Older general surgery, belly surgery, general surgery, Qaliubiya, Qalioub",Qalioub: Shebin Parking Complex,Qaliubiya - Qalioub
354,Dr. Ahmed Mahmoud Abdel Salam,"Old bones, adult orthopedic surgery, bone distortions, joint change, stadium injuries and endoscopes, bones, Cairo, Heliopolis",Heliopolis: Salah Salem Street,Cairo - Heliopolis
355,Dr. Ahmed Mahmoud Owais,"Adult kidney, male diseases, urinary tract surgery, kids kidneys, urinary tract, urinary tract, urinary tract surgery, urinary tract, Damietta, Damietta City","Damietta City: Al -Shihabia Square, Abu Al -Wafa Street, behind the Abu Al -Wafa Pharmacy, Khalaf Abu Al -Arabi, for seafood",Damietta - Damietta City
356,Dr. Ahmed Mukhtar Fayyad,"An adult nose and throat, nose surgery, ears and adult larynx, nose, permission and throat of children, nose surgery, larger and throat of children, nose, ears and throat, Alexandria, Ibrahimia",Ibrahimiya: Ibn Zuhair Al -Lajitiya St.,Alexandria - Ibrahimia
357,Dr. Ahmed Medhat Al -Tamami,"Children's teeth, gum treatment, facial surgery and jaws, dental orthodontics, dental transplantation, adult teeth, teeth, Giza, engineers",Engineers: Abdul Hamid Lutfi Maraa from Suleiman Abaza,Giza - Engineers
358,Dr. Ahmed Medhat Ragheb,"Male diseases, urology, Giza, Dokki",Pillar,Giza - Dokki
359,Dr. Ahmed Murshidi,"Facial plastic surgery, adult leather, burn surgery, eye plastic surgery, hand plastic surgery, children's distortions and birth defects, nose surgery, plastic surgery, Alexandria, Smouha",Smouha: Bahaa Al -Din Al -Ghaturi,Alexandria - Smouha
360,Dr. Ahmed Mustafa Mustafa,"Adult liver, digestive system and extractors, general internal, digestive and endoscopy, Cairo, Maadi",Maadi: Abdel Moneim Riad Street,Cairo - Maadi
361,Dr. Ahmed Mustafa Nafi,"Urinary urinary tracts, urinary tract surgery, male diseases, urinary tract surgery, urinary tract, urologist, Cairo, Nasr City",Nasr City: Extension of Makram Obaid - Khalaf City Stars,Cairo - Nasr City
362,Dr. Ahmed Mustafa Nafi,"Urinary urinary tracts, urinary tract surgery, male diseases, urinary tract surgery, urinary tract, urologist, Cairo, Nasr City",Nasr City: Extension of Makram Obaid - Khalaf City Stars,Cairo - Nasr City
363,Dr. Ahmed Mutawa,"Male diseases, male and sterility, Cairo, gathering",Assembly: Cairo Medical Center,Cairo - Assembly
364,Dr. Ahmed Mutawa,"Male diseases, male and sterility, Cairo, Heliopolis",Heliopolis: d.Muhammad Askar,Cairo - Heliopolis
365,Dr. Ahmed Mutawa,"Male diseases, male and sterility, Cairo, Heliopolis","Heliopolis: Suleiman Pasha, Heliopolis",Cairo - Heliopolis
366,Dr. Ahmed Moawad Imam,"Children's heart, heart and blood vessels, Giza, Dokki",Dokki: Tahrir Street,Giza - Dokki
367,Dr. Ahmed Moeen,"Male diseases, urinary tract surgery, urinary tract, urinary tract, urinary tract surgery, urinary tract, Assiut, Assiut Center",Assiut Center,Assiut - Assiut Center
368,Dr. Ahmed Makkawi,"Microscopic and sterile injection, women's tumor surgery, women and obstetrics, Giza, 6 October",October 6: Al -Hosari Square -Zamzam Mall -Burj 3 -Fouk Koshari Zizou -role 3,Giza - 6 October
369,Dr. Ahmed Makkawi,"Women's tumor surgery, microscopic injection and sterility, women and obstetrics, Giza, engineers",Mohandessin: Osim El Republic St.,Giza - Engineers
370,Dr. Ahmed Nasser Khalifa,"Extreme loss and feeding, slimming and feeding, Giza, engineers",Mohandessin: The League of Arab States Street,Giza - Engineers
371,Dr. Ahmed Nassef,"Nose, ears and throat of children, nose surgery, larger and throat of children, nose, ears and adult throat, nose surgery and adults and throat adults, nose, ear and throat, Damietta, Damietta City",Damietta City: Al -Thawra Street,Damietta - Damietta City
372,Dr. Ahmed Nafi,"Adult sensitivity and immunity, chest and adult respiratory system, chest and respiratory system, Cairo, Heliopolis",Heliopolis: Assiuti - a branch of the Caliph Al -Mamoun,Cairo - Heliopolis
373,Dr. Ahmed Nabil Al -Dabaraki,"Adult teeth, children's teeth, elderly teeth, dental orthodontics, radical filling and treatment of nerves, dental cosmetic, dental implant, gum treatment, dental fixtures, facial surgery and jaws, teeth, teeth, Giza, engineers","Mohandessin: 3 Shehab Street, Corner of the League of Arab States Street, Fourth Role",Giza - Engineers
374,Dr. Ahmed Nabil Khallaf,"Old heart surgery, baby heart surgery, adult boobs, baby chest surgery, heart and chest surgery, Giza, Giza Square",Giza Square,Giza - Giza Square
375,Dr. Ahmed Nabil Shalaby,"Adult teeth, teeth, Cairo, Nasr City",Nasr City: Abdel -Razzaq Al -Sanhouri,Cairo - Nasr City
376,Dr. Ahmed Nabil Abdel Hamid,"Older general surgery, general surgery, Cairo, Nasr City",Nasr City: Youssef Abbas,Cairo - Nasr City
377,Dr. Ahmed Nabil Ali,"Old heart, heart and blood vessels, Cairo, Heliopolis",Heliopolis: Murad Al -Sharia Street,Cairo - Heliopolis
378,Dr. Ahmed Nabil Amara,"Old bones, adult orthopedic surgery, joint change, stadium injuries and endoscopy, bones, Giza, 6 October","October 6: The Central Axis,",Giza - 6 October
379,Dr. Ahmed Nabil Amara,"Joint change, adult bones, hand and shoulder bones, adult orthopedic surgery, bones, Giza, engineers",Mohandessin: Damascus,Giza - Engineers
380,Dr. Ahmed Nofal,"Gynecology and obstetrics, women's tumors surgery, birth, women and obstetrics, Alexandria, Al -Mandara",Al -Mandara: Salman Al -Farsi Street,Alexandria - Mandara
381,Dr. Ahmed Haridy,"Stadiums and endoscopy injuries, bone distortions, foot and ankle bones, joint change, adult bones, orthopedic orthopedics, hand and shoulder bones, peripheral neurosurgery, children's bones, adult rheumatism, children's rheumatism, oral orthopedic surgery, bone surgery, bone, Giza,Pyramid",Haram: Haram Street,Giza - the pyramid
382,Dr. Ahmed Hilal,"Stadiums and endoscopy, bones, western, Tanta, Tanta","Tanta: Othman Muhammad Imam, the Muslim Youth School",Gharbia - Tanta
383,Dr. Ahmed Wajia,"Old orthopedic surgery, joint change, stadium injuries and endoscopy, bones, Giza, Sheikh Zayed",Sheikh Zayed: The Life of Klink Mall -Youth Axis -next to Sheikh Zayed Specialist Hospital -in front of Abu Shaqra -the second round -Club 207,Giza - Sheikh Zayed
384,Dr. Ahmed Wajia,"Old orthopedic surgery, joint change, stadium injuries and endoscopy, bones, Giza, Sheikh Zayed",Sheikh Zayed: The Life of Klink Mall -Youth Axis -next to Sheikh Zayed Specialist Hospital -in front of Abu Shaqra -the second round -Club 207,Giza - Sheikh Zayed
385,Dr. Ahmed Yasser Al -Rifai,"Older general surgery, general surgery, Cairo, Nasr City",Nasr City: Youssef Abbas,Cairo - Nasr City
386,Dr. Ahmed Yahya,"Diseases of women and obstetrics, women and obstetrics, Cairo, Shubra",Shubra,Cairo - Shubra
387,Dr. Ahmed Yahya,"Dental cosmetic, dental installations, adult teeth, teeth, Giza, Sheikh Zayed",Sheikh Zayed: Al -Jazeera Blaza Sheikh Al -Zayed,Giza - Sheikh Zayed
388,Dr. Ahmed Yahya Dental Health Clinic,"Adult teeth, elderly teeth, dental orthodontic, dental cosmetic, dental implant, facial and jaws, dental installations, children's teeth, filling and treatment of roots and nerves, gum treatment, teeth, Giza, engineers",Mohandessin: Gaza Street,Giza - Engineers
389,Dr. Ahmed Yahya Ramadan,"Old heart, adult blood vessels, heart and blood vessels, Cairo, Nasr City",Nasr City: 28 Zakir Hussein - Role 2 - Next to Al -Ahmadi Motors - Empire Medical Center,Cairo - Nasr City
390,Dr. Ahmed Youssef,"An adult nose and laxity, nose, nose, children's larynx, hearing and balance, nose surgery, adult larynx, nose surgery, larger, nose, nose, ears and throat, Giza, Faisal",Faisal: Al -Mashay Street,Giza - Faisal
391,Dr. Ahmed Youssef Gamal,"Adult teeth, teeth, Giza, pyramid",Pyramid,Giza - the pyramid
392,Dr. Ahmed Youssef Gamal,"Adult teeth, teeth, Giza, pyramid",Pyramid,Giza - the pyramid
393,Dr. Ahmed Youssef Hassan,General inner,Giza Square: First University Street,Giza - Giza Square
394,Dr. Ahmed Younis,"Old eyes, optical rehabilitation, lizards, vision and white water correction, children's eyes, network surgery and glass body, eyes, Alexandria, Cleopatra",Cleopatra: Medhat Saif Al Yazal St.,Alexandria - Cleopatra
395,Dr. Ada Maher Al -Qablawi,"Extraordinary natural remedy, losing and feeding adults, slimming and feeding children",Shubra: 53 Rawd Al -Faraj Street - Duran Shubra,Cairo - Shubra
396,Dr. Ada Maher Al -Qablawi,"Children's slimming and feeding children, adult feeding, nourishing, physiotherapy children, adult physical therapy, physical therapy and stadium injuries, Giza, Dokki","Dokki: 25 Street, Ministry of Agriculture -Ali Al -Ezz Real Estate Group -the 11th floor",Giza - Dokki
397,Dr. Ed Mahmoud Al -Wasifi,"Psychology, myself, children, addiction treatment, family consulting, toxin therapy, adult brain and nerves, children and nerves of children, psychological, Dakahlia, Mansoura",Mansoura: Al -Mahatta Square,Dakahlia - Mansoura
398,Dr. Adam Muhammad,"An adult nose and throat, an adult surgery, an adult earnings, an adult throat, a nose, a nose and a children's lax",Dome Gardens: Egypt and Sudan,Cairo - Gardens of the Dome
399,Dr. Edmon Asaad,"Old eyes, optical rehabilitation, lizards, vision and white water correction, network surgery and glass body, eyes, Cairo, Heliopolis",Heliopolis: Al -Nuzha - St. Fatima Square,Cairo - Heliopolis
400,Dr. Osama Rifai Muhammad,"Older general surgery, breast tumor surgery, belly surgery, endocrine surgery, gastrointestinal surgery and adult perspectives, injuries and accident surgery, adult tumors surgery, colon tumor surgery, stomach tumor surgery, obesity and slimming surgery, general surgery, Giza, Giza Square",Giza Square: Giza Square,Giza - Giza Square
401,Dr. Osama Saad Eddin,"An adult nose and throat, an adult surgery, an adult ear, an adult throat, a nose, a child and a children's lax",Mrs. Zainab: Port Said Street,Cairo - Mrs. Zainab
402,Dr. Osama Abdel -Azim,"Public surgery, gastrointestinal surgery, children's endoscopy, pediatric tumor surgery, baby chest surgery, children's abnormal surgery and birth defects, pediatric surgery, Giza, engineers","Mohandessin: Sudan Street, next to Al -Amal Hospital",Giza - Engineers
403,Dr. Osama Abdel Hadi,"Old eyes, optical rehabilitation, lizards, vision and white water correction, children's eyes, network surgery and glass body, eyes, oriental, Zagazig",Zagazig: Al -Jalah St. Al -Jenin in front of Benzina Ali Zaki,Eastern - Zagazig
404,Dr. Osama Muhammad Abu Zaid,"Stadium and endoscopy injuries, foot and ankle bones, joint change, adult bones, hand and shoulder bones, adult orthopedic surgery, children's bones, bones, Giza, pyramid",Pyramid: Press Street,Giza - the pyramid
405,Dr. Osama Mohamed Abdel -Gawad,"Brain and nerves, Eastern, Zagazig",Zagazig: Belbeis Abu Bakr Al -Siddiq Street in front of Mansour Ali Al -Salam Restaurant,Eastern - Zagazig
406,Dr. Osama Ahmed Rabie,"Children, newborns, sensitivity and immunity of children, children and newborns, oriental, Zagazig","Zagazig: Extension of the Obour Bridge, the highest of Salah al -Din Pharmacy",Eastern - Zagazig
407,Dr. Osama Ahmed Qassem,"Facial plastic surgery, cosmetic and laser, burn surgery, hand plastic surgery, nose surgery, children's distortions and birth defects, plastic surgery, Sharqia, Zagazig","Zagazig: Farouk St., next to the Makkah Association",Eastern - Zagazig
408,Dr. Osama Ishaq,Annual and adults and lax,Heliopolis,Cairo - Heliopolis
409,Dr. Osama Ishaq,Annual and adults and lax,Heliopolis,Cairo - Heliopolis
410,Dr. Osama Rabat,"Sugar and endocrine glands, adult liver, adult kidneys, digestive system and adults, general interior, adult heart, adult blood diseases, adult rheumatism, chest and adult respiratory system, internal, Cairo, Ain Shams",Ain Shams: Mansheh Al -Tahrir St. in front of the St. George Church,Cairo - Ain Shams
411,Dr. Osama Radwan,"Older general surgery, belly surgery, injuries and accident surgery, adult tumors surgery, colon tumor surgery, stomach tumors surgery, obesity and slimming surgery, general surgery, Cairo, gathering","Assembly: Medical Park 1 Clinic No. 1, Fifth Settlement, New Cairo",Cairo - Assembly
412,Dr. Osama Sorour,"Old skin, children's skin, cosmetic and laser, genital diseases, male diseases, leather, Alexandria, Azariyah","Azarita: Alexandria.Dr. Abdel Hamid Badawi Street, branch from Champollion Street",Alexandria - Azarita
413,Dr. Osama Selim,"Adult teeth, children's teeth, elderly teeth, dental orthodontics, radical filling and treatment of nerves, dental cosmetic, dental implant, gum treatment, dental fixtures, teeth, teeth, oriental, Zagazig",Zagazig,Eastern - Zagazig
414,Dr. Osama Dhaif,"Women and generation diseases, microscopic injection and sterility, women's tumors surgery, women and generation, Cairo, Mokattam",Scaty,Cairo - Mokattam
415,Dr. Osama Amer,"Gynecology and generation diseases, women's tumors surgery, microscopic injection and sterility, women and generation, Giza, the pyramid",Pyramid: Rukn Al -Safa Street,Giza - the pyramid
416,Dr. Osama Abdel -Gawad,"Gynecology and generation, women's tumors surgery, microscopic injection and sterility, women and generation, Alexandria, Ibrahimia",Ibrahimia: Heliopolis,Alexandria - Ibrahimia
417,Dr. Osama Abdel -Gawad,"Diseases of women and generation, women and obstetrics, Alexandria, Ibrahimia",Abrahamic,Alexandria - Ibrahimia
418,Dr. Osama Abdel Aziz Fikry,"Adult feeding and feeding, general internal, slimming and feeding children, slimming and feeding, Cairo, Maadi",Maadi: Maadi Corniche,Cairo - Maadi
419,Dr. Osama Abdel Aziz Fikry,"Adult feeding and feeding, general internal, slimming and feeding children, slimming and feeding, Cairo, Maadi",Maadi: Maadi Corniche,Cairo - Maadi
420,Dr. Osama Azab,"Sugar and deaf glands, adult kidneys, general interior, sugar and endocrine glands, Cairo, Nasr City",Nasr City: Al -Waha neighborhood,Cairo - Nasr City
421,Dr. Osama Fouad,"Obesity and slimming surgery, obesity and endoscopic surgery, Cairo, Heliopolis",Heliopolis: Mahmoud Hafez Street - Ambassador,Cairo - Heliopolis
422,Dr. Osama Fouad,"Obesity and slimming surgery, obesity and endoscopic surgery, Cairo, Heliopolis",Heliopolis: Mahmoud Hafez Street - Ambassador,Cairo - Heliopolis
423,Dr. Osama Fayed,"Women and generation diseases, microscopic injection and sterility, birth, women's plastic surgery, women and obstetrics, Cairo, Helwan Gardens",Helwan Gardens: Totunji,Cairo - Helwan Gardens
424,Dr. Osama Fikry,"Adult feeding and feeding, general internal, slimming and feeding, Giza, engineers",Mohandessin: Damascus,Giza - Engineers
425,Dr. Osama Mohamed Hassan,"Old nose, ears and throat, nose, ears and throat, Giza, pyramid",Pyramid: the pyramid,Giza - the pyramid
426,Dr. Osama Mohamed Hassan,"Old heart, adult blood vessels, heart and blood vessels, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
427,Dr. Osama Muhammad Fikry Rajai,"Women and generation diseases, microscopic injection and sterility, women's tumors surgery, women and generation, Giza, Giza Square",Giza Square: University Street,Giza - Giza Square
428,Dr. Osama Mustafa Madi,"An adult nose and laxity, nose, nose, children's larynx, nose surgery, adults, adult throat, nose surgery, children's lax",Heliopolis: St. Fatima Square,Cairo - Heliopolis
429,Dr. Osama Mansour,Annual and adults and lax,Heliopolis,Cairo - Heliopolis
430,Dr. Islam Al -Sisi,"Male diseases, male and sterility, Cairo, Marj",Al-Marj: Private-next,Cairo - Marg
431,Dr. Islam Jumaa,"Old bones, children's bones, adult orthopedic surgery, pediatric orthopedic surgery, bone distortions, hand and shoulder bones, foot and ankle bones, joint change, orthopedic orthoped",Banha Center: Al -Adli Square in front of a Kingdom,Qaliubiya - Benha Center
432,Dr. Islam Hosni Abu Al -Maati,"Lizik, vision and white water, adult eyes, children's eyes, network surgery and glass body, eyes, Cairo, Nasr City","Nasr City: Mustafa Al -Nahhas Street, the intersection of Youssef Abbas Street",Cairo - Nasr City
433,Dr. Islam Khaled,"Older general surgery, breast tumor surgery, belly surgery, endocrine surgery, gastrointestinal surgery and adult perspectives, injuries and accident surgery, adult tumor surgery, obesity and slimming surgery, general surgery, Giza, 6 October",October 6: Rana Mall,Giza - 6 October
434,Dr. Islam Youssef,"Kids blood vessels surgery, adult vascular surgery, diabetes foot treatment, blood vessel surgery, Cairo, Maadi",Maadi: Carrefour Maadi Street - Al -Maraj,Cairo - Maadi
435,Dr. Islam Youssef,"Kids blood vessels surgery, adult vascular surgery, diabetes foot treatment, blood vessel surgery, Cairo, Maadi",Maadi: Carrefour Maadi Street - Al -Maraj,Cairo - Maadi
436,Dr. Islam Ibrahim,"Adult Surgery, Children's Surgery, Cardiology and Surgery, Cairo, Heliopolis",Heliopolis: Caliph Al -Mamoun Street,Cairo - Heliopolis
437,Dr. Islam Abu Zaid,"Old eyes, optical rehabilitation, lizards, vision and white water correction, children's eyes, network surgery and glass body, eyes, Alexandria, Al -Ajami",Ajami,Alexandria - Al -Ajmi
438,Dr. Islam Ahmed,"Stadium and endoscopy injuries, bone distortions, foot and ankle bones, joint change, orthopedic orthopedics, hand and shoulder bones, peripheral neurosurgery, children's bones, adult orthopedic surgery, pediatric bone surgery, bones, Cairo, Helwan",Helwan,Cairo - Helwan
439,Dr. Islam Ismail,"Adult brain and nerves, brain and nerves, Cairo, Maadi","Maadi: Mustafa Kamel Street, branch from 9 Street - Maadi",Cairo - Maadi
440,Dr. Islam Tawfiq,"Adult teeth, teeth, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
441,Dr. Islam Jalal,"Old heart, heart and blood vessels, oriental, Zagazig",Zagazig: Al -Galaa St. in front of the Child Park and the City Council above the city,Eastern - Zagazig
442,Dr. Islam Hazem,"Obesity and slimming surgery, children's distortions and birth defects, nose plastic surgery, eye plastic surgery, burn surgery, facial plastic surgery, plastic surgery, Alexandria, Sporting",Sporting: Port Said Street,Alexandria - Sporting
443,Dr. Islam Hassan,"Stadium and endoscopy injuries, foot and ankle bones, joint change, adult bones, orthopedic orthoped",Mohandessin: The League of Arab States Street,Giza - Engineers
444,Dr. Islam Hassan,"General internal, adult feeding and feeding, internal, Giza, Faisal",Faisal,Giza - Faisal
445,Dr. Islam Hamdi,"Old eyes, children's eyes, lasak, vision and white water, optical rehabilitation, eyes, Giza, engineers",Engineers,Giza - Engineers
446,Dr. Islam Salem,"Diseases of women and obstetrics, women and obstetrics, Alexandria, Smouha",Smouha: Mahmoud Shaker Street,Alexandria - Smouha
447,Dr. Islam Saad Ibrahim,"Children, children and newborns, Cairo, Mokattam",Scaty,Cairo - Mokattam
448,Dr. Islam Samir Al -Assal,"Older general surgery, breast tumor surgery, belly surgery, endocrine surgery, gastrointestinal surgery and adult perspectives, injuries and accident surgery, adult tumors surgery, colon tumor surgery, stomach tumors surgery, general surgery, obesity and slimming, general surgery, Cairo,Hostile",Maadi: Carrefour City Senter Street,Cairo - Maadi
449,Dr. Islam Samir Al -Assal,"Older general surgery, breast tumor surgery, belly surgery, endocrine surgery, gastrointestinal surgery and adult perspectives, injuries and accident surgery, adult tumors surgery, colon tumor surgery, stomach tumors surgery, general surgery, obesity and slimming, general surgery, Cairo,Hostile",Maadi: Carrefour City Senter Street,Cairo - Maadi
450,Dr. Islam Karim,"Old bones, adult oral surgery, bones, Cairo, Heliopolis","Heliopolis: Suleiman Pasha, Heliopolis",Cairo - Heliopolis
451,Doctor of Islam Lammum,"Adult teeth, children's teeth, elderly teeth, dental orthodontics, radical filling and treatment of nerves, dental cosmetic, dental implant, facial surgery and jaws, gum treatment, dental fixtures, teeth, teeth, Giza, Dokki",Dokki: Babylon Street,Giza - Dokki
452,Dr. Islam Mubarak,"Adult teeth, teeth, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
453,Dr. Islam Magdy Bandari,"An adult nose and throat, an adult surgery, an adult ear, an adult throat, a nose, a child, a nose surgery, an ear, a children's lax",Zagazig: The new bridge in front of Al -Nahda Association next to Al -Ahram Pharmacy,Eastern - Zagazig
454,Dr. Islam Magdy Mohamed,"Extreme feeding and feeding, child feeding and feeding, slimming and feeding, Giza, Imbaba",Imbaba: Bashtil General,Giza - Imbaba
455,Dr. Islam Hani,"Women's tumor surgery, breast tumor surgery, colon tumor surgery, liver tumor surgery, pediatric tumor surgery, stomach tumors surgery, tumor surgery, Dakahlia, Mansoura",Mansoura: Bank of Egypt,Dakahlia - Mansoura
456,Dr. Islam Heba,"Adult liver, digestive system and extractors, general internal, pediatric liver, digestive system and children's endoscopes, liver, western, Tanta","Tanta: Al -Borsa from Al -Sa'ah Square, Al -Shahawi Mall",Gharbia - Tanta
457,Dr. Islam Yousry,"Children's teeth, teeth, Giza, pyramid",Pyramid,Giza - the pyramid
458,Dr. Ismail Moussa,"Lizik, vision and white water, adult eyes, children's eyes, eyes, Cairo, Obour City",Obour City: The first neighborhood,Cairo - Obour City
459,Dr. Ismail Ahmed,"Older physical therapy, stadium injuries, slimming and adult feeding, physiotherapy and stadium injuries, Giza, 6 October",October 6: Gardenia Park 1 - within the social club,Giza - 6 October
460,Dr. Ashraf Abu Ali,"Microscopic injection and sterility, women and obstetrics, Alexandria, Mustafa Kamel",Mustafa Kamel: Freedom Road,Alexandria - Mustafa Kamel
461,Dr. Ashraf Ismail,"Old bones, bones, Cairo, Nasr City","Nasr City: Hassanein Heikal, Nasr City",Cairo - Nasr City
462,Dr. Ashraf Ibrahim Zaki,"Adult liver, digestive device and adult perspectives, general internal, liver, Cairo, Heliopolis",Heliopolis: Caliph Al -Mamoun Street,Cairo - Heliopolis
463,Dr. Ashraf Abu Rayya,General inner,Al -Ahram Gardens: The Human Gate,Giza - Al -Ahram Gardens
464,Dr. Ashraf Abu Rayya,General inner,Al -Ahram Gardens: The Human Gate,Giza - Al -Ahram Gardens
465,Dr. Ashraf Al -Amir,"Old heart, children's heart, heart and blood vessels, Cairo, Mokattam",Mokattam: Street 9,Cairo - Mokattam
466,Dr. Ashraf Al -Bahrawi,"Digestive device and adult perspectives, digestive and endoscopic device, Cairo, Nasr City","Nasr City: Ahmed Al -Zumar, the tenth neighborhood",Cairo - Nasr City
