hospital_name,specialties,address,city_area
Dr. Ahmed Al -Husseini,"Facial plastic surgery, burn surgery, eye plastic surgery, nose surgery, plastic surgery, Cairo, Ain Shams",Ain Shams: Gamal Abdel Nasser Street from the Suez Bridge,Cairo - Ain Shams
Dr. Ahmed Al -Halouji,"Lizik, vision and white water, network surgery and glass body, eyes, Giza, Faisal",Faisal,Giza - Faisal
Dr. Ahmed Al -Kharbutli,"An adult nose and laxity, nose, nose, and throat of children, hearing and balance disorder, nose surgery and adult larynx, nose surgery, ear and children's throat, adult auditors, children's hearing, nose, ear and throat, Cairo, Manial",Al Manial: 84 Al Manial Street - Al -Ghamrawi Station - Second Role,Cairo - Manial
Dr. Ahmed Al -Kharbutli,"An adult nose and laxity, nose, nose, and throat of children, hearing and balance disorder, nose surgery and adult larynx, nose surgery, ear and children's throat, adult auditors, children's hearing, nose, ear and throat, Cairo, Manial",Al Manial: 84 Al Manial Street - Al -Ghamrawi Station - Second Role,Cairo - Manial
Dr. Ahmed Al -Khatib,"Adult feeding and feeding, slimming and feeding children, slimming and feeding, Cairo, Nasr City",Nasr City: Mustafa Al -Nahhas,Cairo - Nasr City
Dr. Ahmed Al -Khawaja,"Stadium and endoscopy injuries, bone distortions, foot and ankle bones, joint change, adult bones, orthopedic orthodontics, peripheral neurosurgery, children's bones, adult rheumatism, adult orthopedic surgery, pediatric bone surgery, bones, Giza, pyramid gardens",Al -Ahram Gardens: Gardenia Street,Giza - Al -Ahram Gardens
Dr. Ahmed Al -Khawaja,"Stadium and endoscopy injuries, bone distortions, joint change, adult bones, adult orthopedic surgery, pediatric orthopedic surgery, bones, Giza, pyramid gardens",Al -Ahram Gardens: The first Gardenia Street,Giza - Al -Ahram Gardens
Dr. Ahmed El -Khouly,"Adulty teeth, children's teeth, dental orthodontics, radical and nerve treatment, dental cosmetic, dental implant, facial surgery and jaws, gum treatment, dental fixtures, teeth, Cairo, Maadi",Maadi: Hassanein Al -Desouki Street,Cairo - Maadi
Dr. Ahmed El -Desouki,"General surgery, children, abdominal surgery, gastrointestinal surgery and adults, injuries and accident surgery, breast tumor surgery, adult surgery, general surgery, Suez, the city of Suez",Suez City: Ahmed Orabi,Suez - the city of Suez
Dr. Ahmed Al -Sayed,"Diseases of women and obstetrics, microscopic injection and sterility, women and obstetrics, Cairo, Maadi",Maadi: Saqr Quraysh Street,Cairo - Maadi
Dr. Ahmed Al -Sayed Abdul Latif,"Adult kidneys, male diseases, urinary tract surgery, kids kidneys, urinary tract, urinary tract, urinary tract surgery, urinary tract, brown-suit, Beni Suef City",Beni Suef City: Port Said Street,Beni -Swal - Beni Suef City
Dr. Ahmed Al -Sayed Fouda,"Male diseases, urinary tract surgery, urinary tract, urinary tract, urinary tract surgery, urinary tract, Cairo, olive",Olive: mountain canal,Cairo - Olives
Dr. Ahmed Al -Shaer,"An adult nose and throat, nose surgery, ears, adult throat, nose, permission, and throat of children, nose surgery, larger and throat of children, nose, ears and throat, Dakahlia, Mansoura",Mansoura: In front of Awad Siraj,Dakahlia - Mansoura
Dr. Ahmed Al -Shaer,"Old heart, heart and blood vessels, Giza, Hawamdiya",Al -Hawamdiya: the hero,Giza - Hawamdiya
Dr. Ahmed Al -Shami,"Digestive device surgery and children's endoscopes, pediatric tumors surgery, urologist surgery, childhood distortions and birth defects, pediatric surgery, Cairo, Heliopolis",Heliopolis: 70 Al -Mirghani Street - next to the Abu Ghali Motor Show,Cairo - Heliopolis
Dr. Ahmed Al -Shami,"Stadium and endoscopy injuries, bone distortions, joint change, adult bones, orthopedic orthopedics, hand and shoulder bones, children's bones, adult rheumatism, children's rheumatism, adult oral surgery, pediatric orthopedic surgery, bones, Cairo, Ain Shams",Ain Shams: Ain Shams Street,Cairo - Ain Shams
Dr. Ahmed Al -Sharqawi,"Older brain surgery, adult column surgery, children's neurosurgery, children's column surgery, children and neurosurgery, oriental, Minya al -Qamh",Minya Al -Qamh: Saad Zaghloul Street,Eastern - Minya Al Qamh
Dr. Ahmed Al -Sharqawi,"Older chest surgery, adult heart surgery, heart and chest surgery, Dakahlia, Mit Ghamr",Mit Ghamr: June 26 Street,Dakahlia - Mit Ghamr
Dr. Ahmed El -Shennawy,"Extraordinary feedback, adult physical therapy, children's physical therapy, slimming and feeding, Giza, Faisal",Faisal: his student,Giza - Faisal
Dr. Ahmed Al -Ghandour,"Digestive device and adult perspectives, general internal, adult liver, digestive and endoscopic device, Cairo, Heliopolis",Heliopolis: Caliph Al -Mamoun Street,Cairo - Heliopolis
Dr. Ahmed Al -Far,"Adult teeth, teeth, Cairo, Nasr City",Nasr City,Cairo - Nasr City
Dr. Ahmed Al -Fiqi,"Facial plastic surgery, obesity and slimming surgery, plastic surgery, burn surgery, eye plastic surgery, hand plastic surgery, nose surgery, plastic surgery, Giza, Giza Square",Giza Square :.,Giza - Giza Square
Dr. Ahmed Al -Fawal,"Toxin therapy, addiction treatment, family consultations, psychological adults, psychological, Alexandria, Sporting",Sporting: Omar Lutfi Street,Alexandria - Sporting
Dr. Ahmed Al -Fishawi,"Stadium and endoscopy injuries, bone distortions, foot and ankle bones, joint change, adult bones, orthopedic orthopedics, hand and shoulder bones, peripheral neurosurgery, children's bones, adult rheumatism, children's rheumatism, oral orthopedic surgery, bone surgery, bone, Cairo,Nasr City",Nasr City: Abdel Razek Al Sanhoury Street,Cairo - Nasr City
Dr. Ahmed Al -Fayoumi,"Nose, ear and throat, Cairo, gathering",Assembly: Dr. Ahmed Okasha,Cairo - Assembly
Dr. Ahmed Al -Qadi,"Physiotherapy children, physiotherapy and stadium injuries, Alexandria, Mustafa Kamel",Mustafa Kamel: Freedom Road,Alexandria - Mustafa Kamel
Dr. Ahmed Al -Qassas,"Extraordinary feeding and feeding, adult physical therapy, children's physical therapy, stadium injuries, slimming and feeding children, physiotherapy and stadium injuries, Damietta, Damietta City",Damietta City: Faraskour City,Damietta - Damietta City
Dr. Ahmed Al -Kafouri,"Children's heart, sugar and endocrine glands, children, newborn, children's nerves, nerves, breastfeeding, urinary tracts, children and newborns, Alexandria, Bakos",Bakos: Al -Fateh St.,Alexandria - Backos
Dr. Ahmed Al -Koumi,"Children, newborns, breastfeeding, kids kidneys, sensitivity and children's immunity, slimming and feeding children, children and newborns, Cairo, olive",Olive: Ibn Al -Hakam Street,Cairo - Olives
Dr. Ahmed Al -Maghawry,"Family consultations, addiction treatment, psychological children, psychological adults, psychological, Giza, Dokki",Dokki: Dokki Street,Giza - Dokki
Dr. Ahmed Al -Maghawry,"Family consultations, addiction treatment, psychological children, psychological adults, psychological, Giza, Dokki",Dokki: Dokki Street,Giza - Dokki
Dr. Ahmed Al -Meliji,"Microscopic and sterile injection, women's diseases and obstetrics, women's tumors surgery, women and obstetrics, Giza, engineers",Mohandessin: Ahmed Orabi St.,Giza - Engineers
Dr. Ahmed Al -Nabah,"Children's teeth, dental cosmetics, radical and nerve filling and treatment, gum treatment, facial and jaws, dental orthodontics, dental fixtures, elderly teeth, dental rays, dental implant, adult teeth, teeth, Giza, Faisal",Faisal,Giza - Faisal
Dr. Ahmed Al -Najdi,"Adult teeth, teeth, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
Dr. Ahmed Al -Najmi,"Adult teeth, teeth, Cairo, Sheraton",Sheraton,Cairo - Sheraton
Dr. Ahmed Al -Najmi,"Adult teeth, teeth, Cairo, Sheraton",Sheraton,Cairo - Sheraton
Dr. Ahmed Al -Nahhas,"I am adults, addiction treatment, family consultations, myself, children, myself, Cairo, my city",My City: Medical Center 1,Cairo - my city
Dr. Ahmed Al -Nahhas,"I am adults, addiction treatment, family consultations, myself, children, myself, Cairo, my city",My City: Medical Center 1,Cairo - my city
Dr. Ahmed Al -Numan,"Diseases of women and obstetrics, microscopic injection and sterility, women and obstetrics, Cairo, Al -Rehab",Al -Rehab: Behind the bank complex,Cairo - Al -Rehab
Dr. Ahmed Badran,Belly,Pillar,Giza - Dokki
Dr. Ahmed Barakat,"Adult a spine surgery, children's neurosurgery, adult neurosurgery, pillar surgery, children's column, neurosurgery, Cairo, assembly","Assembly: 84 Umm Kulthum Street, next to the Institute of Oncology, the first gathering",Cairo - Assembly
Dr. Ahmed Battah,"Adult blood vessels, adult heart, heart and blood vessels, Cairo, downtown",Downtown: Sabri Abu Alam Street,Cairo - Downtown
Dr. Ahmed Battah,"Adult blood vessels, adult heart, heart and blood vessels, Cairo, downtown",Downtown: Sabri Abu Alam Street,Cairo - Downtown
Dr. Ahmed Bahaa Al -Duwini,"Microscopic injection and sterility, diseases of women and obstetrics, women and obstetrics, Cairo, Manial",Al Manial: Manial Street,Cairo - Manial
Dr. Ahmed Bahaa Al -Din Bilal,"Obesity and slimming surgery, obesity and endoscopic surgery, Giza, engineers","Mohandessin: No. 49 Al -Batal Ahmed Abdel Aziz Street, the highest Hardez Restaurant, Round 7",Giza - Engineers
Dr. Ahmed Bahjat,"Children's teeth, dental cosmetics, radical and nerve filling and treatment, gum treatment, facial and jaws, dental orthodontics, dental fixtures, elderly teeth, dental rays, dental implant, adult teeth, teeth, Giza, Faisal",Faisal,Giza - Faisal
Dr. Ahmed Bahjat,"Children's teeth, dental cosmetics, radical and nerve filling and treatment, gum treatment, facial and jaws, dental orthodontics, dental fixtures, elderly teeth, dental rays, dental implant, adult teeth, teeth, Giza, Faisal",Faisal,Giza - Faisal
Dr. Ahmed Bayoumi Nassar,"Stadium and endoscopy injuries, foot and ankle bones, joint change, adult bones, hand and shoulder bones, children's bones, adult orthopedic surgery, pediatric orthopedic surgery, bones, western, Tanta",Tanta: Tutankhamun with Rushdie,Gharbia - Tanta
Dr. Ahmed Tamer,"Old bones, children's bones, adult orthopedic surgery, pediatric orthopedic surgery, bone distortions, hand and shoulder bones, foot and ankle bones, joint change, peripheral neurosurgery, orthopedic orthopedics, stadium injuries and joints, bones, Giza, Sheikh Zayed",Sheikh Zayed,Giza - Sheikh Zayed
Dr. Ahmed Jamal Khafagy,"An adult's nose and throat, nose, ear, and throat, Cairo, Shubra",Shubra: Minya Al -Serge Street,Cairo - Shubra
Dr. Ahmed Jamal Shuaib,"Olding general surgery, breast tumor surgery, belly surgery, endocrine surgery, gastrointestinal surgery and adult perspectives, adult tumors surgery, colon tumor surgery, stomach tumor surgery, women's tumors surgery, general surgery, Fayoum, Fayoum City","Fayoum City: The Clinic: Fayoum 9 Al -Hurriya Street, next to the Abdullah Wehbe Mosque in front of Al -Abd Al -Radi Center",Fayoum - Fayoum City
Dr. Ahmed Jamal Ali,"Adult brain and neurosurgery, children's neurosurgery, adult spine surgery, child spine surgery, neurosurgery, Giza, and engineers",Mohandessin: 37 Ahmed Orabi Street -,Giza - Engineers
Dr. Ahmed Jamal Ali,"Adult brain and neurosurgery, children's neurosurgery, adult spine surgery, child spine surgery, neurosurgery, Giza, and engineers",Mohandessin: 37 Ahmed Orabi Street -,Giza - Engineers
Dr. Ahmed soldier Khalil Morsi,"Diseases of women and obstetrics, women and obstetrics, Cairo, Shubra",Shubra: Misra.Shubra,Cairo - Shubra
Dr. Ahmed Hazem,"Adult brain and nerves, brain and nerves, brain and nerves, Cairo, Shubra",Shubra,Cairo - Shubra
Dr. Ahmed Hazem Abdel -Azim,"Old bones, bones, Giza, Dokki",Pillar,Giza - Dokki
Dr. Ahmed Hafez Khafaji,"An adult nose and laxity, nose, nose, children's throat, nose surgery, adults, adult throat, nose surgery, larger, nose, nose, and throat, Cairo, Nasr City",Nasr City,Cairo - Nasr City
Dr. Ahmed Hafez Khafaji,"An adult nose and laxity, nose, nose, children's throat, nose surgery, adults, adult throat, nose surgery, larger, nose, nose, and throat, Cairo, Nasr City",Nasr City,Cairo - Nasr City
Dr. Ahmed Hamid,"Sugar and deaf extinction, general internal, internal, Cairo, Ain Shams",Ain Shams: Ahmed Esmat Street,Cairo - Ain Shams
Dr. Ahmed Hassan Abdel Halim,"Digestive device and adults, gastrointestinal device and children's endoscopes, adult liver, pediatric liver, digestive and endoscopy, Giza, Faisal",Faisal: 118 Faisal Street in front of the laboratory laboratory,Giza - Faisal
Dr. Ahmed Hassan Abdullah,"Diseases of women and obstetrics, women and obstetrics, Giza, Dokki",Pillar,Giza - Dokki
Dr. Ahmed Hassan Attia,"General General Surgery, belly surgery, breast tumor surgery, colon tumor surgery, stomach tumors surgery, injuries and accident surgery, adult tumors surgery, endocrine surgery, gastrointestinal surgery and adults, general surgery, eastern, Minya wheat","Minya Al -Qamh: Saad Zaghloul St., next to the Agriculture School, the highest communications branch",Eastern - Minya Al Qamh
Dr. Ahmed Hassan Ali,"Sugar, adult deaf glands, sugar and endocrine glands, adult liver, pediatric liver, digestive system and extractors, gastrointestinal system and children's endoscopes, slimming and adult feeding, slimming and feeding children, internal, Cairo, Helwan","Helwan: Sharif St., intersection of Abdullah St.
In front of McDonald's next to the Sharif Association",Cairo - Helwan
Dr. Ahmed Hassan Ali,"Sugar, adult deaf glands, sugar and endocrine glands, adult liver, pediatric liver, digestive system and extractors, gastrointestinal system and children's endoscopes, slimming and adult feeding, slimming and feeding children, internal, Cairo, Helwan","Helwan: Sharif St., intersection of Abdullah St.
In front of McDonald's next to the Sharif Association",Cairo - Helwan
Dr. Ahmed Hassan Ali,"General interior, sugar and adult endocrinology, sugar and endocrine glands, adult liver, pediatric liver, digestive system and extractors, gastrointestinal system and children's endoscopes, adult kidneys, kids kidneys, urinary tracts, urinary tracts, childhood slimming and feeding, slimming and feeding children, Internal, Cairo, Helwan",Helwan: Al -Taraa Street,Cairo - Helwan
Dr. Ahmed Hassan Nassar,Annual and adults and lax,Heliopolis,Cairo - Heliopolis
Dr. Ahmed Hosni,"Old tumors, children's tumors, tumors, Giza, Giza Square",Giza Square: Murad Street,Giza - Giza Square
Dr. Ahmed Hosni,"Male diseases, male and sterility, Cairo, Heliopolis",Heliopolis: Mustafa Rifaat Street,Cairo - Heliopolis
Dr. Ahmed Hosni,"Male diseases, adult skin, male and sterility, Giza, engineers",Mohandessin: Wadi Al Nile Street,Giza - Engineers
Dr. Ahmed Halawa,"Adult teeth, teeth, Cairo, Abbasid",Abbasid,Cairo - Abbasiya
Dr. Ahmed Hamdan,"Gynecology and generation diseases, microscopic injection and sterility, women's tumors surgery, women's plastic surgery, birth, women and generation, Giza, Al -Ahram Gardens",Al -Ahram Gardens: Gardenia Street,Giza - Al -Ahram Gardens
Dr. Ahmed Hamdi,"Obesity and slimming surgery, obesity and endoscopic surgery, Giza, engineers",Mohandessin: Damascus,Giza - Engineers
Dr. Ahmed Hamdi,"Obesity and slimming surgery, obesity and endoscopic surgery, Giza, engineers","Mohandessin: 13, the fruits of the National Bank building, there",Giza - Engineers
Dr. Ahmed Hamdi,"Urinary urinary tracts, urinary tracts, urinary tract surgery, urology surgery, male diseases, urologist, Cairo, Maadi",Maadi: Al -Mi'raj Al -Jaish Street,Cairo - Maadi
Dr. Ahmed Hamdi,"Gynecology and generation diseases, microscopic injection and sterility, women's tumors surgery, women and obstetrics, Cairo, Nasr City",Nasr City: Abdel -Razek Al -Sanhouri is a branch from Makram Obaid,Cairo - Nasr City
Dr. Ahmed Hamdi,"Gynecology and generation diseases, microscopic injection and sterility, women's tumors surgery, women and obstetrics, Cairo, Nasr City",Nasr City: Abdel -Razek Al -Sanhouri is a branch from Makram Obaid,Cairo - Nasr City
Dr. Ahmed Hamdi,"Gynecology and generation diseases, microscopic injection and sterility, women's tumors surgery, women and obstetrics, Cairo, Nasr City",Nasr City: Abdel -Razek Al -Sanhouri is a branch from Makram Obaid,Cairo - Nasr City
Dr. Ahmed Hamdi,"Gynecology and generation diseases, microscopic injection and sterility, women's tumors surgery, women and obstetrics, Cairo, Nasr City",Nasr City: Abdel -Razek Al -Sanhouri is a branch from Makram Obaid,Cairo - Nasr City
Dr. Ahmed Hamdi Tolba,"Stadium and endoscopy injuries, foot and ankle bones, joint change, adult bones, orthopedic orthopedics, adult orthopedic surgery, bones, Giza, Faisal",Faisal: The Pearl,Giza - Faisal
Dr. Ahmed Rashid,"Diseases of women and obstetrics, women and obstetrics, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
Dr. Ahmed Rashid,"Adulty kidneys, kidneys, Giza, 6 October",October 6: Al -Azhar Institute,Giza - 6 October
Dr. Ahmed Rami,"Extreme feeding and feeding, slimming and feeding children, slimming and feeding, Cairo, Heliopolis","Heliopolis: No. 45 Othman Ibn Affan Street, Ismailia Square",Cairo - Heliopolis
Dr. Ahmed Rajab former,"Older general surgery, breast tumor surgery, belly surgery, gastrointestinal surgery and adult endoscopy, colon tumor surgery, endocrine surgery, adult tumor surgery, injuries and accident surgery, stomach tumors surgery, general surgery, Cairo, Al -Rehab",Al -Rehab: Corner Mall in front of Gate 6,Cairo - Al -Rehab
Dr. Ahmed Rajab former,"General General Surgery, Breast Oncology Surgery, belly surgery, gastrointestinal surgery and adult endoscopy, colon tumor surgery, endocrine surgery, injuries and accident surgery, stomach tumors surgery, general surgery, Cairo, Nasr City",Nasr City: Al-Massa Hospital-Mustafa Al-Nahhas Street,Cairo - Nasr City
Dr. Ahmed Rizk,"Obesity and slimming surgery, belly surgery, breast tumor surgery, colon tumor surgery, liver tumor surgery, general surgery, Cairo, Nasr City",Nasr City: Suez Street,Cairo - Nasr City
Dr. Ahmed Rizk,"Children, newborns, sensitivity and immunity of children, children and newborns, Cairo, gathering",Gathering,Cairo - Assembly
Dr. Ahmed Rizk Ahmed Rizk,"Sensitivity and immunity of children, children and newborns, Cairo, Heliopolis",Heliopolis: No. 6 Saad Hussein Zaki St.,Cairo - Heliopolis
Dr. Ahmed Raslan,"Old eyes, lasak, vision and white water correction, optical rehabilitation, eyes, Cairo, Obour City",Obour City: Al-Shabab District- Al-Mine Street,Cairo - Obour City
Dr. Ahmed Raslan,"Lizik and correction of eyesight and white water, adult eyes, eyes, Giza, Sheikh Zayed",Sheikh Zayed: Media Point Medical Complex -next to Zayed Specialist Hospital,Giza - Sheikh Zayed
"Dr. Ahmed Zakaria, the shepherd Suleiman","Children's auditors, adult hearing, nose surgery, ear and throat of children, nose surgery, ear and adult throat, hearing and balance disorder, nose and ears and throat children, nose, ears and adult throat, nose, ear and throat, Cairo, olives",Olive: Selim I Street,Cairo - Olives
Dr. Ahmed Zaki,"An adult's nose and throat, nose, ear, and throat, Cairo, Shubra",Shubra,Cairo - Shubra
Dr. Ahmed Zaki Mr. Mahmoud,"General, internal, internal, Cairo, Nasr City",Nasr City,Cairo - Nasr City
Dr. Ahmed Zuhdi,"Extreme feeding and feeding, slimming and nourishing children, adult physical therapy, physical therapy, childhood and feeding, Cairo, Shubra",Shubra,Cairo - Shubra
Dr. Ahmed Zuhdi,"Old skin, children's skin, cosmetic and laser, genital diseases, male diseases, leather, Cairo, Maadi",Hostile,Cairo - Maadi
Dr. Ahmed Zuhdi,"Old skin, children's skin, cosmetic and laser, genital diseases, male diseases, leather, Cairo, Shubra",Shubra,Cairo - Shubra
Dr. Ahmed Zahra,"Dental fixtures, children's teeth, dental cosmetic, radical and nerve filling and treatment, gum treatment, facial and jaws, dental implant, adult teeth, teeth, Cairo, gathering",Gathering,Cairo - Assembly
Dr. Ahmed Ziada Abbas,"Extraordinary physical therapy, stadium injuries, physical therapy and stadium injuries, Giza, and engineers",Engineers: The hero Ahmed Abdel Aziz,Giza - Engineers
Dr. Ahmed Zidan,"Children's teeth, dental cosmetics, stuffing and treatment of roots and nerves, gum treatment, dental orthodontic, dental implant, facial and jaws, dental fixtures, elderly teeth, dental rays, adult teeth, teeth, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
Dr. Ahmed Salem Metwally Salem,"Urine urinary tract surgery, urinary tract, Cairo, Maadi",Maadi: Street 153,Cairo - Maadi
Dr. Ahmed Saeed,"Adult teeth, teeth, Cairo, downtown",downtown,Cairo - Downtown
Dr. Ahmed Saeed Al -Shall,"Treatment of adult pain, children's pain treatment, pain treatment, Cairo, Heliopolis",Heliopolis: The Caliph Al -Mamoun,Cairo - Heliopolis
Dr. Ahmed Saeed Al -Adl,"Old skin, genital diseases, male diseases, cosmetic and lazer, children's skin, leather, Cairo, Mokattam",Mokattam: Street 9,Cairo - Mokattam
Dr. Ahmed Saeed Jamal,"Children's heart, children, newborn, slimming and feeding children, children and newborns, oriental, Zagazig","Zagazig: The Specialized Claus Center, next to the Old Cairo-Alexandria and Al-Mustafa Tire Center, Kafr Abu Hussein, the main street",Eastern - Zagazig
Dr. Ahmed Saeed Hassan,"Children, newborn, slimming and feeding children, breastfeeding, sensitivity and immunity, children and newborns, Alexandria, Rushdie",Rushdie: Roman camp,Alexandria - Rushdie
Dr. Ahmed Saeed Dabour,"Children, newborns, breastfeeding, children and newborns, Ismailia, Ismailia",Ismailia city,Ismailia - Ismailia
Dr. Ahmed Saeed Dweik,"Adult teeth, dental calendar, dental implant, gum treatment, teeth, Cairo, Obour City","Al -Obour City: The City of Obour, the first neighborhood, in front of the Islamic Center, Alaa Nabhan for Curtains, the second round",Cairo - Obour City
Dr. Ahmed Saeed Zaki,"Teeth, teeth, Cairo, Heliopolis",Heliopolis: Mahmoud Hafez Street,Cairo - Heliopolis
Dr. Ahmed Saeed Shukry,"Adult teeth, children's teeth, elderly teeth, orthodontic, filling and treatment of roots and nerves, dental cosmetics, dental implants, gum treatment, dental fixtures, teeth, Giza, engineers",Engineers,Giza - Engineers
Dr. Ahmed Saeed Aram,"Children, children and newborns, Cairo, gathering",Gathering,Cairo - Assembly
Dr. Ahmed Suleiman,"Urinary urinary tracts, male diseases, urinary tract surgery, urology of children, urinary tract surgery, urologist, Cairo, Nasr City",Nasr City: Al -Nasr Road,Cairo - Nasr City
Dr. Ahmed Suleiman,"Urinary urinary tracts, male diseases, urinary tract surgery, urology of children, urinary tract surgery, urologist, Cairo, Nasr City",Nasr City: Al -Nasr Road,Cairo - Nasr City
Dr. Ahmed Suleiman Qutb,"Breast Oncology surgery, colon tumor surgery, general surgery, Cairo, Nasr City",Nasr City: Caliph Street,Cairo - Nasr City
Dr. Ahmed Suleiman Qutb,"Breast tumor surgery, colon tumor surgery, general surgery, Giza, engineers",Mohandessin: July 26 Street,Giza - Engineers
Dr. Ahmed Samir,"Gynecology and generation, women's tumors surgery, women and obstetrics, Eastern, Zagazig",Zagazig: The International Facilitation Hospital is the way of Mansoura's position,Eastern - Zagazig
Dr. Ahmed Samir,"Old heart, adult blood vessels, heart and blood vessels, Cairo, Ain Shams","Ain Shams: Ahmed Esmat Street, Naqiya Adam Street - from the Suez Bridge",Cairo - Ain Shams
Dr. Ahmed Samir,"Old bones, children's bones, adult orthopedic surgery, pediatric orthopedic surgery, bone distortions, hand and shoulder bones, foot and ankle bones, joint change, peripheral neurosurgery, stadium injuries and endoscopy, orthopedic orthopedics, bones, Giza, Faisal",Faisal: Faisal- Hassan Mohamed- next to Tabarak Hospital,Giza - Faisal
Dr. Ahmed Samir Al -Adawi,"Stadium and endoscopy injuries, foot and ankle bones, joint changes, hand and shoulder bones, peripheral neurosurgery, adult orthopedic surgery, bones, Kafr-Sheikh, Kafr El-Sheikh Center",Kafr El -Sheikh Center: Extension of Denchway Street,Kafr - Sheikh - Kafr El -Sheikh Center
Dr. Ahmed Samir Hosni,"Adult vascular surgery, pediatric blood vessels surgery, diabetes foot treatment, blood vessel surgery, Cairo, Manial",Manial: Qalabai Al Manial Street,Cairo - Manial
Dr. Ahmed Samir Montaser,"Network surgery and a glass body, lizards and correction of eyes and white water, adult eyes, eyes, Cairo, Heliopolis",Heliopolis: Al -Mirghani Street,Cairo - Heliopolis
Dr. Ahmed Sharif Nada,"Urinary urinary tracts, urinary tracts, urinary tract surgery, urology surgery, male diseases, urologist, Cairo, Nasr City",Nasr City: Al -Nasr Road,Cairo - Nasr City
Dr. Ahmed Sharif Nada,"Urinary urinary tracts, urinary tracts, urinary tract surgery, urology surgery, male diseases, urologist, Cairo, Nasr City",Nasr City: Al -Nasr Road,Cairo - Nasr City
Dr. Ahmed Shata,"Dental cosmetics, radical and nerve treatment, gum treatment, dental installations, elderly teeth, dental transplantation, adult teeth, teeth, Giza, Faisal",Faisal: Faisal Street,Giza - Faisal
Dr. Ahmed Shaban,"Older general surgery, endocrine surgery, adult tumor surgery, general surgery, lake, Damanhour",Damanhour: Ahmed Orabi St.,Lake - Damanhour
Dr. Ahmed Shaban Harmouni Klink bones,"Old bones, children's bones, stadium injuries and endoscopes, bone distortions, foot and ankle bones, joint change, orthopedic orthoped",Nasr City: Aviation Street,Cairo - Nasr City
Dr. Ahmed Shaban Harmouni Klink bones,"Old bones, children's bones, stadium injuries and endoscopes, bone distortions, foot and ankle bones, joint change, orthopedic orthoped",Nasr City: Aviation Street,Cairo - Nasr City
Dr. Ahmed Shaarawi,"Lizik and correction of vision and white water, adult eyes, optical rehabilitation, children's eyes, network surgery and glass body, eyes, Giza, Dokki","Dokki: 97 Al -Tahrir St., the seventh floor, in front of the Asad bin Al -Furat Mosque
Google Maps: Dr.Sharawy Cornea Clinic",Giza - Dokki
Dr. Ahmed Shaarawi,"Lizik and correction of vision and white water, adult eyes, optical rehabilitation, children's eyes, network surgery and glass body, eyes, Giza, Dokki","Dokki: 97 Al -Tahrir St., the seventh floor, in front of the Asad bin Al -Furat Mosque
Google Maps: Dr.Sharawy Cornea Clinic",Giza - Dokki
Dr. Ahmed Shalbia,"Urinary urinary tracts, urinary tracts, Giza, Dokki",Pillar,Giza - Dokki
Dr. Ahmed Shalaby - Cairo December Clinic,"Adult teeth, children's teeth, elderly teeth, dental orthodontics, radical filling and treatment of nerves, dental cosmetic, dental implant, gum treatment, dental installations, facial surgery and jaws, teeth, teeth, Cairo, Heliopolis",Heliopolis: Imam Street,Cairo - Heliopolis
Dr. Ahmed Saleh,"Children, newborns, children and newborns, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
Dr. Ahmed Saleh Barghout,"Women and generation diseases, microscopic injection and sterility, women's tumors surgery, women and generation, Alexandria, Al -Mandara",Al -Mandara: Iskandar Ibrahim Street,Alexandria - Mandara
Dr. Ahmed Sobhi Muhammad Saber,"Adult teeth, teeth, Cairo, Suez Bridge",Suez Bridge,Cairo - Suez Bridge
Dr. Ahmed Sedky Abdul Rahman Sedky,Belly,Heliopolis,Cairo - Heliopolis
Dr. Ahmed Siddiq Ahmed,"Adult teeth, teeth, Cairo, Nasr City",Nasr City,Cairo - Nasr City
Dr. Ahmed Saqr,"Diseases of women and generation, microscopic injection and infertility, birth, women and obstetrics, Cairo, Gardens of the Dome",The Gardens of the Dome: Al -Mahrousa Street is branched from Misr and Sudan Street,Cairo - Gardens of the Dome
Dr. Ahmed Saqr,"Old eyes, lizards, vision and white water correction, network surgery and glass body, optical rehabilitation, eyes, Cairo, Maadi",Maadi: Al -Basateen Public Street,Cairo - Maadi
Dr. Ahmed Saqr,"Olding general surgery, breast tumor surgery, belly surgery, endocrine surgery, gastrointestinal surgery and adult perspectives, adult tumors surgery, colon tumor surgery, pediatric tumor surgery, obesity and slimming surgery, general surgery, Cairo, Helwan",Helwan: Riyad Pasha Street with Saleh Sobhi,Cairo - Helwan
Dr. Ahmed Saqr,"Women and generation diseases, microscopic injection and sterility, women's tumors surgery, women's plastic surgery, birth, women and obstetrics, Cairo, Gardens of the Dome",Dome Gardens: Egypt and Sudan,Cairo - Gardens of the Dome
Dr. Ahmed Saqr,"Old eyes, lizards and correction of vision and white water, network surgery and glass body, optical rehabilitation, eyes, Cairo, Bulaq",Bulaq: Nahia Street,Cairo - Bulaq
Dr. Ahmed Salah Kamal Al -Khudari,Belly,October 6,Giza - 6 October
Dr. Ahmed Salah Younis,"Old heart, heart and blood vessels, Giza, engineers",Mohandessin: Abdel Moneim Street,Giza - Engineers
